assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
232610024,22682931,Brachypteracias leptosomus,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,BRACHYPTERACIIDAE,Brachypteracias,leptosomus,,,,"(Lesson, 1833)",Vulnerable,A3cd+4cd,3.1,Decreasing,Global
254926243,22697504,Lophotibis cristata,ANIMALIA,CHORDATA,PELECANIFORMES,AVES,THRESKIORNITHIDAE,Lophotibis,cristata,,,,"(Boddaert, 1783)",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
256010787,22698767,Philepitta schlegeli,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHILEPITTIDAE,Philepitta,schlegeli,,,,"Schlegel, 1875",Vulnerable,A3c+4c,3.1,Decreasing,Global
256043215,22708033,Xenopirostris polleni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Xenopirostris,polleni,,,,"(Schlegel, 1868)",Vulnerable,A2c+3c+4c,3.1,Decreasing,Global
260131149,22682961,Atelornis crossleyi,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,BRACHYPTERACIIDAE,Atelornis,crossleyi,,,,"Sharpe, 1875",Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
261702880,22724537,Calicalicus rufocarpalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Calicalicus,rufocarpalis,,,,"Goodman, Hawkins & Domergue, 1997",Vulnerable,C2a(ii),3.1,Decreasing,Global
261974345,22684143,Coua delalandei,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Coua,delalandei,,,,"(Temminck, 1827)",Extinct,,3.1,,Global
263643886,22680552,Turnix nigricollis,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,TURNICIDAE,Turnix,nigricollis,,,,"(Gmelin, 1789)",Least Concern,,3.1,Stable,Global
263646879,22695957,Buteo brachypterus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Buteo,brachypterus,,,,"Hartlaub, 1860",Least Concern,,3.1,Stable,Global
263668973,22693009,Pterocles personatus,ANIMALIA,CHORDATA,PTEROCLIFORMES,AVES,PTEROCLIDAE,Pterocles,personatus,,,,"Gould, 1843",Least Concern,,3.1,Stable,Global
263713265,22683156,Corythornis madagascariensis,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,ALCEDINIDAE,Corythornis,madagascariensis,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
263716881,22729402,Upupa marginata,ANIMALIA,CHORDATA,BUCEROTIFORMES,AVES,UPUPIDAE,Upupa,marginata,,,,"Cabanis & Heine, 1860",Least Concern,,3.1,Stable,Global
263787734,22719753,Lepidopygia nana,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ESTRILDIDAE,Lepidopygia,nana,,,,"(Pucheran, 1845)",Least Concern,,3.1,Stable,Global
263789762,22714629,Thamnornis chloropetoides,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,BERNIERIDAE,Thamnornis,chloropetoides,,,,"(Grandidier, 1867)",Least Concern,,3.1,Decreasing,Global
263825832,22715475,Bradypterus seebohmi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LOCUSTELLIDAE,Bradypterus,seebohmi,,,,"(Sharpe, 1879)",Least Concern,,3.1,Stable,Global
263833385,22708218,Monticola imerina,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Monticola,imerina,,,,"(Hartlaub, 1860)",Least Concern,,3.1,Stable,Global
263866088,22717018,Eremopterix hova,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ALAUDIDAE,Eremopterix,hova,,,,"(Hartlaub, 1860)",Least Concern,,3.1,Increasing,Global
263875127,22714865,Acrocephalus newtoni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ACROCEPHALIDAE,Acrocephalus,newtoni,,,,"(Hartlaub, 1863)",Least Concern,,3.1,Stable,Global
263924572,103815494,Riparia cowani,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,HIRUNDINIDAE,Riparia,cowani,,,,"(Sharpe, 1882)",Least Concern,,3.1,Decreasing,Global
263927430,22718995,Ploceus sakalava,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PLOCEIDAE,Ploceus,sakalava,,,,"Hartlaub, 1861",Least Concern,,3.1,Stable,Global
263946517,22718375,Motacilla flaviventris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MOTACILLIDAE,Motacilla,flaviventris,,,,"Hartlaub, 1860",Least Concern,,3.1,Stable,Global
264207947,22724439,Cryptosylvicola randrianasoloi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,BERNIERIDAE,Cryptosylvicola,randrianasoloi,,,,"Goodman, Langrand & Whitney, 1996",Least Concern,,3.1,Decreasing,Global
264310506,22708202,Monticola sharpei,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Monticola,sharpei,,,,"(Gray, 1871)",Least Concern,,3.1,Decreasing,Global
265877007,22708028,Xenopirostris damii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Xenopirostris,damii,,,,"Schlegel, 1866",Vulnerable,A2c+3c+4c,3.1,Decreasing,Global
268569267,22713039,Xanthomixis cinereiceps,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,BERNIERIDAE,Xanthomixis,cinereiceps,,,,"(Sharpe, 1881)",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
270178677,22730713,Monticola erythronotus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Monticola,erythronotus,,,,"(Lavauden, 1929)",Near Threatened,B1b(iii)+2b(iii),3.1,Stable,Global
271066681,22695336,Eutriorchis astur,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Eutriorchis,astur,,,,"(Sharpe, 1875)",Endangered,C2a(i),3.1,Decreasing,Global
271067323,22695121,Haliaeetus vociferoides,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Haliaeetus,vociferoides,,,,"Des Murs, 1845",Critically Endangered,C2a(ii),3.1,Decreasing,Global
275581330,22716763,Oxylabes madagascariensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,BERNIERIDAE,Oxylabes,madagascariensis,,,,"(Gmelin, 1789)",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
275707048,22716153,Neomixis viridis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CISTICOLIDAE,Neomixis,viridis,,,,"(Sharpe, 1883)",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
275831628,22708069,Hypositta corallirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Hypositta,corallirostris,,,,"(Newton, 1863)",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
275905172,22708016,Schetba rufa,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Schetba,rufa,,,,"(Linnaeus, 1766)",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
275986985,22715086,Newtonia brunneicauda,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Newtonia,brunneicauda,,,,"(Newton, 1863)",Least Concern,,3.1,Decreasing,Global
